,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
1565,"3740 Peachtree Dunwoody Road NEAtlanta, GA 30342",30342,Fulton,4.0,3.5,,1.325,1890,,10246,0.0,2,1250000
1566,"753 Darlington Circle NEAtlanta, GA 30305",30305,Fulton,5.0,4.5,4902.0,0.196,2013,6.0,17576,0.0,2,1250000
1567,"2933 Margaret Mitchell Court NWAtlanta, GA 30327",30327,Fulton,7.0,6.5,,0.651,1970,,7297,0.0,2,1250000
1568,"3325 Piedmont Road NE Unit: 2605Atlanta, GA 30305",30305,Fulton,3.0,3.0,2710.0,0.062,2008,7.0,15553,22140.0,2,1275000
1569,"2164 James AlleyAtlanta, GA 30345",30345,DeKalb,5.0,4.0,3000.0,0.087,2023,7.0,3731,4020.0,2,1275000
1570,"2587 Sunset DriveAtlanta, GA 30345",30345,DeKalb,4.0,5.5,3881.0,0.368,2023,4.0,16000,0.0,2,1295000
1571,"2168 James AlleyAtlanta, GA 30345",30345,DeKalb,5.0,4.0,3000.0,0.087,2024,7.0,1,4020.0,2,1295000
1572,"637 E Pelham Road NEAtlanta, GA 30324",30324,Fulton,5.0,3.0,2826.0,0.332,1940,7.0,16497,0.0,2,1295000
1573,"625 Home Avenue SEAtlanta, GA 30312",30312,Fulton,4.0,3.5,2482.0,0.192,2023,8.0,6828,960.0,2,1297000
1574,"222 12th Street NE Unit: 1207Atlanta, GA 30309",30309,Fulton,2.0,2.5,1727.0,0.04,2008,5.0,8639,897.0,2,1298000
1575,"1065 Peachtree Street NE Unit: 3103Atlanta, GA 30309",30309,Fulton,2.0,2.5,,,2010,3.0,20385,1275.0,2,1299000
1576,"40 12th Street NE Unit: 1202Atlanta, GA 30309",30309,Fulton,2.0,2.5,1652.0,,2021,7.0,12000,15264.0,2,1299000
1577,"75 14th Street NE Unit: 3660Atlanta, GA 30309",30309,Fulton,3.0,2.5,2428.0,0.055,1992,6.0,15979,2191.0,2,1299900
1578,"40 12th Street NE Unit: 1901Atlanta, GA 30309",30309,Fulton,2.0,2.0,1525.0,,2021,8.0,0,15504.0,2,1299950
1579,"165 6th Street  Unit: 3Atlanta, GA 30308",30308,Fulton,3.0,3.5,2654.0,0.051,2019,1.0,14637,3000.0,2,1300000
1580,"580 Windsor ParkwayAtlanta, GA 30342",30342,Fulton,5.0,4.0,,0.469,2014,2.0,11837,0.0,2,1300000
1581,"3640 Paces Valley Road NWAtlanta, GA 30327",30327,Fulton,4.0,3.5,3198.0,1.548,1960,1.0,7495,0.0,2,1300000
1582,"2745 Ridgewood Road NWAtlanta, GA 30327",30327,Fulton,5.0,4.5,,1.845,1960,2.0,18066,0.0,2,1325000
1583,"651 Timm Valley Road NEAtlanta, GA 30305",30305,Fulton,6.0,5.0,3799.0,,2022,4.0,7831,0.0,2,1349000
1584,"145 15th Street NE Unit: 1033Atlanta, GA 30309",30309,Fulton,3.0,3.0,,0.02,1974,4.0,3534,3200.0,2,1350000
1585,"505 Holderness SWAtlanta, GA 30310",30310,Fulton,7.0,7.5,5100.0,0.427,1887,,88,0.0,2,1350000
1586,"2660 Peachtree Road NW Unit: 11BAtlanta, GA 30305",30305,Fulton,2.0,2.0,,0.055,1987,4.0,7269,17568.0,2,1350000
1587,"318 Sandy Springs  Unit: 260Atlanta, GA 30328",30328,Fulton,2.0,2.5,2231.0,,2024,5.0,0,15246.0,2,1350000
1588,"652 Clifton Road NEAtlanta, GA 30307",30307,DeKalb,4.0,4.5,3436.0,0.2,1997,4.0,13440,310.0,2,1350000
1589,"2621 Sunset DriveAtlanta, GA 30345",30345,DeKalb,5.0,5.5,3817.0,0.368,2023,4.0,16000,0.0,2,1359000
1590,"1957 Jessica LaneAtlanta, GA 30345",30345,DeKalb,4.0,3.5,3500.0,0.087,2024,7.0,3731,4020.0,2,1375000
1591,"1964 Jessica LaneAtlanta, GA 30345",30345,DeKalb,5.0,4.0,3067.0,0.087,2024,7.0,3731,4020.0,2,1375000
1592,"2595 Sunset DriveAtlanta, GA 30345",30345,DeKalb,4.0,5.5,3881.0,0.368,2023,4.0,16000,0.0,2,1382100
