,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price
432,"100 Martin SEAtlanta, GA 30315",30315,Fulton,3.0,2.0,1274.0,0.078,1930,,4970,0.0,2,250000
433,"1195 Milton Terrace SE Unit: 1309Atlanta, GA 30315",30315,Fulton,1.0,2.0,1064.0,0.024,2006,5.0,290,4224.0,2,250000
434,"2408 River Green Drive NW Unit: 2408Atlanta, GA 30327",30327,Fulton,1.0,1.0,905.0,0.021,1991,8.0,108,0.0,2,250000
435,"25104 Plantation Drive NEAtlanta, GA 30324",30324,Fulton,2.0,2.0,1224.0,0.028,1983,2.0,0,7872.0,2,250000
436,"246 Aurora Avenue NWAtlanta, GA 30314",30314,Fulton,3.0,1.0,,0.224,1938,,3248,0.0,2,250000
437,"219 Rhodesia Avenue SEAtlanta, GA 30315",30315,Fulton,2.0,1.0,1242.0,0.108,1930,,543,0.0,2,250000
438,"121 Dahlia Avenue NWAtlanta, GA 30314",30314,Fulton,2.0,2.0,,0.13,1940,,2505,0.0,2,250000
439,"1100 SW Hobson Street SW Unit: 1Atlanta, GA 30310",30310,Fulton,3.0,2.5,1336.0,0.7,1920,,1152,0.0,2,250000
440,"1150 MaylandAtlanta, GA 30310",30310,Fulton,3.0,1.0,1148.0,0.17,1955,,1630,0.0,2,250000
441,"2555 Flat Shoals Road  Unit: 2204Atlanta, GA 30349",30349,Fulton,3.0,2.5,1612.0,0.067,2005,5.0,3294,4680.0,2,250000
442,"5170 FlemishAtlanta, GA 30349",30349,Clayton,3.0,2.0,,0.26,1969,,2188,0.0,2,250000
443,"5326 HeatherAtlanta, GA 30349",30349,Clayton,4.0,2.0,2036.0,0.27,1967,,2551,0.0,2,250000
444,"199 14th Street  Unit: 201Atlanta, GA 30309",30309,Fulton,1.0,1.0,,,1992,1.0,4229,369.0,2,250000
445,"2255 Peachtree Rd. Ne  Unit: 527Atlanta, GA 30309",30309,Fulton,1.0,1.0,629.0,0.01,2004,5.0,1680,3035.0,2,250000
446,"3480 Creighton Rd SwAtlanta, GA 30331",30331,Fulton,5.0,3.0,1478.0,0.3,1960,1.0,2873,0.0,2,250000
447,"3481 Lakeside Drive NE Unit: 2604Atlanta, GA 30326",30326,Fulton,1.0,1.0,,,1990,4.0,1485,491.0,2,254999
448,"3060 PHARR COURT NORTH NW Unit: 103Atlanta, GA 30305",30305,Fulton,2.0,1.0,840.0,0.019,1970,11.0,2570,561.0,2,255000
449,"110 Rimel LaneAtlanta, GA 30349",30349,Fulton,3.0,2.5,1709.0,0.343,1972,4.0,2453,0.0,2,255000
450,"3508 Ruby H Harper Boulevard SEAtlanta, GA 30354",30354,Fulton,3.0,2.0,,0.241,1960,2.0,3181,0.0,2,255000
451,"1685 Briarcliff Road NE Unit: 5Atlanta, GA 30306",30306,DeKalb,2.0,1.5,,0.015,1962,2.0,2251,3900.0,2,255000
452,"155 Hemphill School Road NWAtlanta, GA 30331",30331,Fulton,3.0,2.0,1035.0,0.186,1935,1.0,1659,0.0,2,255000
453,"4021 MelvinAtlanta, GA 30331",30331,Fulton,3.0,2.0,1359.0,0.413,1999,,3223,0.0,2,255000
454,"534 Hamilton E Holmes Drive NWAtlanta, GA 30318",30318,Fulton,4.0,2.0,1128.0,0.377,1945,,1104,0.0,2,255000
455,"1838 SE Wee Kirk RoadAtlanta, GA 30316",30316,DeKalb,3.0,1.5,1468.0,0.4,1959,,3200,0.0,2,255900
456,"6940 Roswell Road  Unit: 16AAtlanta, GA 30328",30328,Fulton,2.0,1.5,1000.0,0.011,1965,6.0,2746,3636.0,2,257000
457,"610 Providence Place SWAtlanta, GA 30331",30331,Fulton,3.0,3.5,,0.01,2005,3.0,1476,2400.0,2,258900
458,"298 Glenn Street SWAtlanta, GA 30312",30312,Fulton,2.0,2.5,1088.0,0.09,2000,,1319,0.0,2,259000
459,"172 Haynes Street SW Unit: 308Atlanta, GA 30313",30313,Fulton,2.0,1.0,1007.0,0.023,1920,,0,3480.0,2,259000
460,"5181 Jones CircleAtlanta, GA 30349",30349,Clayton,3.0,2.0,,0.258,1962,,272,0.0,2,259000
461,"2874 BlountAtlanta, GA 30344",30344,Fulton,3.0,1.0,,0.268,1948,,2052,0.0,2,259000
462,"3650 Croft P Place NWAtlanta, GA 30331",30331,Fulton,3.0,2.0,1025.0,,1960,1.0,905,0.0,2,259000
463,"400 W Peachtree Street NW Unit: 2314Atlanta, GA 30308",30308,Fulton,1.0,1.0,,0.017,2007,2.0,2188,694.0,2,259900
464,"2013 Lewis Road SEAtlanta, GA 30315",30315,Fulton,4.0,2.0,2080.0,0.21,1945,1.0,4070,0.0,2,259900
465,"1 Biscayne NW Unit: 704Atlanta, GA 30309",30309,Fulton,1.0,1.0,,0.017,1997,5.0,3474,3576.0,2,259900
466,"1062 Grant Terrace SEAtlanta, GA 30315",30315,Fulton,3.0,2.0,1148.0,0.092,1953,6.0,3026,0.0,2,259900
467,"80 NW AdrianAtlanta, GA 30327",30327,Fulton,2.0,2.0,1100.0,0.022,1970,5.0,1707,7272.0,2,259950
468,"1195 MILTON Terrace SE Unit: 4206Atlanta, GA 30315",30315,Fulton,1.0,1.0,943.0,0.021,2006,8.0,2990,3600.0,2,260000
469,"6851 Roswell Road  Unit: Q12Atlanta, GA 30328",30328,Fulton,3.0,2.0,1469.0,0.033,1964,8.0,3461,6944.0,2,260000
470,"75 Ponce De Leon NE Unit: 1004Atlanta, GA 30308",30308,Fulton,1.0,1.0,,0.013,1913,,1554,4884.0,2,260000
471,"10 Perimeter Summit Boulevard NE Unit: 1208Atlanta, GA 30319",30319,DeKalb,2.0,2.0,,0.027,2005,6.0,1858,8568.0,2,260000
472,"2915 La Jean DriveAtlanta, GA 30349",30349,Fulton,3.0,2.5,1936.0,0.299,1972,4.0,2641,0.0,2,260000
473,"2178 OlmadisonAtlanta, GA 30349",30349,Fulton,3.0,3.0,1698.0,0.064,2006,2.0,4011,1920.0,2,260000
474,"32 Peachtree Street NW Unit: 1702Atlanta, GA 30303",30303,Fulton,1.0,1.5,1310.0,0.03,1920,2.0,2160,813.0,2,260000
475,"1280 W Peachtree Street NW Unit: 3308Atlanta, GA 30309",30309,Fulton,1.0,1.0,,0.019,1989,7.0,3233,5628.0,2,260000
476,"2996 1st Avenue SWAtlanta, GA 30315",30315,Fulton,3.0,2.0,1294.0,0.175,1948,,3176,0.0,2,260000
477,"759 Houston Mill Road NE Unit: 2Atlanta, GA 30329",30329,DeKalb,1.0,1.0,741.0,0.01,1965,3.0,3165,0.0,2,260000
478,"1902 Godby RoadAtlanta, GA 30349",30349,Clayton,3.0,3.5,3896.0,1.21,1965,2.0,694,0.0,2,260000
479,"100 NW Biscayne Drive NW Unit: A6Atlanta, GA 30309",30309,Fulton,2.0,1.5,,0.024,1964,7.0,3654,6276.0,2,260000
480,"1658 Altadena PlaceAtlanta, GA 30311",30311,Fulton,3.0,1.0,1298.0,0.215,1948,,3567,0.0,2,260000
481,"3100 SableAtlanta, GA 30349",30349,Fulton,3.0,2.5,1518.0,0.138,2006,,4189,475.0,2,261250
482,"1167 Indale Place SWAtlanta, GA 30310",30310,Fulton,2.0,1.0,1218.0,0.19,1920,4.0,14,0.0,2,262200
483,"1333 N Crossing Drive NEAtlanta, GA 30329",30329,DeKalb,2.0,1.0,1216.0,,1984,6.0,1865,4635.0,2,262500
484,"117 Thayer AvenueAtlanta, GA 30315",30315,Fulton,3.0,1.0,1241.0,0.17,1920,,1959,0.0,2,262900
485,"79 Turman Avenue SEAtlanta, GA 30315",30315,Fulton,2.0,1.0,,0.149,1950,5.0,1408,0.0,2,265000
486,"244 13th Street NE Unit: 112Atlanta, GA 30309",30309,Fulton,1.0,1.0,811.0,0.019,1985,6.0,836,5520.0,2,265000
487,"2886 Fairburn Road SWAtlanta, GA 30331",30331,Fulton,4.0,2.0,,1.06,1920,4.0,2922,0.0,2,265000
488,"356 Lake DriveAtlanta, GA 30354",30354,Fulton,3.0,2.0,1776.0,0.227,1955,4.0,912,0.0,2,265000
489,"592 Waynes Court SEAtlanta, GA 30354",30354,Fulton,3.0,2.5,1534.0,0.121,1997,,1211,0.0,2,265000
490,"2053 Oak Terrace Drive SEAtlanta, GA 30316",30316,DeKalb,3.0,2.0,,0.3,2001,,2595,0.0,2,265000
491,"1683 Mary George Avenue NWAtlanta, GA 30318",30318,Fulton,3.0,1.0,875.0,0.2,1962,,1135,0.0,2,265000
492,"944 Hubbard Street SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,,0.062,1920,,2786,0.0,2,265000
493,"2608 Barge Road SWAtlanta, GA 30331",30331,Fulton,3.0,2.0,906.0,0.175,1953,,2337,0.0,2,265000
494,"1393 Bolton Rd NWAtlanta, GA 30331",30331,Fulton,3.0,2.0,1831.0,0.74,1955,,985,0.0,2,265000
495,"130 26th Street NW Unit: 403Atlanta, GA 30309",30309,Fulton,1.0,1.0,815.0,0.019,1962,,178,7272.0,2,265000
496,"2140 Tiger Flowers Drive NWAtlanta, GA 30314",30314,Fulton,2.0,2.0,650.0,0.299,1950,5.0,410,0.0,2,265000
497,"702 BRIGHTON PointAtlanta, GA 30328",30328,Fulton,2.0,2.0,1225.0,0.028,1978,4.0,1229,4836.0,2,265000
498,"332 Oak DriveAtlanta, GA 30354",30354,Fulton,,,,0.4,1960,6.0,1140,0.0,2,265000
499,"332 OakAtlanta, GA 30354",30354,Fulton,5.0,3.0,,0.4,1960,5.0,1140,0.0,2,265000
500,"2870 Pharr Court South NW Unit: 1409Atlanta, GA 30305",30305,Fulton,1.0,1.0,807.0,0.019,1988,6.0,3527,5748.0,2,266000
501,"2166 Martin Luther King Jr Drive SWAtlanta, GA 30310",30310,Fulton,3.0,1.5,,0.258,1959,,2266,0.0,2,266635
502,"2166 Martin Luther King Jr Drive SWAtlanta, GA 30310",30310,Fulton,,,,0.258,1959,,2266,0.0,2,266635
503,"711 Cosmopolitan  Unit: 103Atlanta, GA 30324",30324,Fulton,1.0,1.5,855.0,,2007,4.0,3772,4380.0,2,267000
504,"3123 E Colonial Way  Unit: EAtlanta, GA 30341",30341,DeKalb,2.0,1.5,1024.0,0.065,1965,9.0,2092,4560.0,2,267500
505,"1812 Glenview Drive SWAtlanta, GA 30331",30331,Fulton,8.0,2.0,2338.0,0.452,1960,1.0,1659,0.0,2,269000
506,"5692 Westhill CircleAtlanta, GA 30349",30349,Fulton,3.0,1.5,1200.0,0.303,1964,3.0,2800,0.0,2,269000
507,"74 Montre SquareAtlanta, GA 30327",30327,Fulton,2.0,2.0,1127.0,0.03,1968,3.0,1882,7275.0,2,269000
508,"400 W Peachtree Street NW Unit: 2707Atlanta, GA 30308",30308,Fulton,1.0,1.0,730.0,0.017,2007,7.0,1883,4228.0,2,269000
509,"1261 Lavista Rd Ne  Unit: H-1Atlanta, GA 30324",30324,DeKalb,2.0,1.5,1250.0,6.0,1966,6.0,114114,923.0,2,269000
510,"1027 SMITHAtlanta, GA 30310",30310,Fulton,2.0,2.0,910.0,0.059,2023,,984,0.0,2,269900
511,"1166 Virginia Avenue NE Unit: 5Atlanta, GA 30306",30306,Fulton,1.0,1.0,581.0,0.013,1920,6.0,1282,213.0,2,269900
512,"568 Mcwilliams Road SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,,0.247,1954,3.0,3843,0.0,2,269900
513,"4306 Nottinghill DriveAtlanta, GA 30331",30331,Fulton,5.0,2.5,1709.0,0.028,2000,,1526,3000.0,2,269900
514,"1758 S Alvardo TerraceAtlanta, GA 30311",30311,Fulton,4.0,2.0,1665.0,0.21,1951,,3168,0.0,2,269900
515,"59 NW Helena AvenueAtlanta, GA 30314",30314,Fulton,3.0,1.0,2100.0,0.18,1955,,1177,0.0,2,269900
516,"764 Rochelle Dr SwAtlanta, GA 30310",30310,Fulton,,,,0.53,1960,,4939,0.0,2,269900
517,"6851 Roswell Road NE Unit: H12Atlanta, GA 30327",30327,Fulton,2.0,2.0,,0.277,1964,6.0,769,0.0,2,269999
518,"2249 Brannen Road SEAtlanta, GA 30316",30316,DeKalb,3.0,1.0,1075.0,0.2,1955,,2735,0.0,2,270000
519,"1469 Jonesboro Road SEAtlanta, GA 30315",30315,Fulton,,,,0.057,1980,,2894,0.0,2,270000
520,"400 W Peachtree Street NW Unit: 3207Atlanta, GA 30308",30308,Fulton,1.0,1.0,730.0,0.017,2007,7.0,4396,3000.0,2,270000
521,"1402 N Crossing NEAtlanta, GA 30329",30329,DeKalb,2.0,2.0,1300.0,,1984,5.0,4127,4824.0,2,270000
522,"6058 Rockaway RoadAtlanta, GA 30349",30349,Fulton,3.0,2.5,,0.015,2020,3.0,3700,2100.0,2,270000
523,"6058 Rockaway RoadAtlanta, GA 30349",30349,Fulton,,,,0.015,2020,3.0,3700,2100.0,2,270000
524,"711 Cosmopolitan Drive  Unit: TL1Atlanta, GA 30324",30324,Fulton,1.0,1.5,855.0,0.02,2009,6.0,4079,4500.0,2,270000
525,"881 Mcwilliams Road SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,,0.291,1920,,4198,0.0,2,270000
526,"391 S Bend Avenue SEAtlanta, GA 30315",30315,Fulton,3.0,3.0,1241.0,0.195,1920,4.0,3479,0.0,2,271000
527,"2812 VININGS CENTRAL  Unit: 152Atlanta, GA 30339",30339,Cobb,2.0,2.0,1350.0,0.145,1986,5.0,678,532.0,2,272500
528,"3991 ADAMSVILLEAtlanta, GA 30331",30331,Fulton,3.0,2.0,,0.298,1964,,43,0.0,2,273000
529,"1012 Thomasville Estate CourtAtlanta, GA 30315",30315,Fulton,4.0,2.0,1131.0,0.61,2009,,1364,0.0,2,273000
530,"1009 Peeples Street SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,1000.0,0.131,1920,,1646,0.0,2,274000
531,"1359 Elizabeth Avenue SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,1495.0,0.138,1950,,2481,0.0,2,274900
532,"4685 HighpointAtlanta, GA 30349",30349,Fulton,3.0,2.5,1821.0,0.086,2006,2.0,2304,800.0,2,274900
533,"7265 Glisten  Unit: 122Atlanta, GA 30328",30328,Fulton,1.0,1.0,960.0,0.02,2012,2.0,934,3594.0,2,274900
534,"3324 Peachtree Road NE Unit: UNIT 1503Atlanta, GA 30326",30326,Fulton,1.0,1.0,,0.015,2005,4.0,1813,4202.0,2,274999
535,"2230 Peachtree Road NW Unit: A5Atlanta, GA 30309",30309,Fulton,2.0,1.0,,0.024,1938,,3730,0.0,2,275000
536,"2870 Pharr Court South NW Unit: 1202Atlanta, GA 30305",30305,Fulton,1.0,1.0,,0.029,1988,7.0,2726,0.0,2,275000
537,"456 Mary Street SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,1265.0,0.115,1920,,3804,0.0,2,275000
538,"400 17th Street NW Unit: 2225Atlanta, GA 30363",30363,Fulton,2.0,1.0,,0.025,2005,6.0,1651,5472.0,2,275000
539,"711 Cosmopolitan Drive NE Unit: TL13Atlanta, GA 30324",30324,Fulton,1.0,1.5,,0.02,2007,5.0,1928,3870.0,2,275000
540,"400 PEACHTREE NW Unit: 903Atlanta, GA 30308",30308,Fulton,1.0,1.0,,0.017,2007,7.0,4051,342.0,2,275000
541,"708 Francis Place NWAtlanta, GA 30318",30318,Fulton,3.0,1.5,1174.0,0.309,1938,7.0,2520,0.0,2,275000
542,"566 Cedar Avenue NWAtlanta, GA 30318",30318,Fulton,5.0,2.0,,0.185,2002,,1038,0.0,2,275000
543,"1029 Piedmont Avenue NE Unit: 307Atlanta, GA 30309",30309,Fulton,1.0,1.0,800.0,0.018,2001,5.0,2229,6122.0,2,275000
544,"3324 Peachtree Road NE Unit: 1116Atlanta, GA 30326",30326,Fulton,1.0,1.0,,0.014,2005,,4285,4423.0,2,275000
545,"2626 Peachtree Road NW Unit: 608Atlanta, GA 30305",30305,Fulton,1.0,1.0,947.0,0.022,2005,6.0,1751,6372.0,2,275000
546,"2563 Collier Drive NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,992.0,0.667,1950,,341,0.0,2,275000
547,"5216 Roses Of Picardy CourtAtlanta, GA 30349",30349,Clayton,3.0,2.0,1866.0,0.49,1969,,3221,0.0,2,275000
548,"6940 Roswell  Unit: 11DAtlanta, GA 30328",30328,Fulton,2.0,1.5,1000.0,0.01,1965,7.0,1045,3720.0,2,275000
549,"251 Aurora Avenue NWAtlanta, GA 30314",30314,Fulton,3.0,2.0,,0.322,1938,,3428,0.0,2,275000
550,"800 Peachtree Street NE Unit: 1307Atlanta, GA 30308",30308,Fulton,1.0,1.0,1094.0,0.025,2001,8.0,1424,7260.0,2,275000
551,"179 Hamilton E Holmes Drive NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,1139.0,0.17,1960,,535,0.0,2,275000
552,"150 Oak Drive SWAtlanta, GA 30354",30354,Fulton,3.0,2.0,,0.193,1956,3.0,3179,0.0,2,275000
553,"130 26th Street NW Unit: 510Atlanta, GA 30309",30309,Fulton,2.0,1.0,1150.0,,1962,6.0,0,0.0,2,275000
554,"1050 SW Lawton AvenueAtlanta, GA 30310",30310,Fulton,3.0,2.0,1596.0,0.17,1920,,1187,0.0,2,275000
555,"15 Finch TrailAtlanta, GA 30308",30308,Fulton,1.0,1.5,960.0,0.02,1985,6.0,1734,4920.0,2,275000
556,"616 NW Center Hill AvenueAtlanta, GA 30318",30318,Fulton,2.0,1.0,1160.0,0.23,1940,,2773,0.0,2,275000
557,"2870 Pharr Court South NW Unit: 2002Atlanta, GA 30305",30305,Fulton,1.0,1.0,807.0,0.019,1988,8.0,926,399.0,2,278000
558,"5515 Forest Downs CircleAtlanta, GA 30349",30349,Fulton,3.0,2.5,,0.209,1991,,2789,0.0,2,278500
559,"2992 Peek Road NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,1818.0,0.236,1964,,3443,0.0,2,279000
560,"551 CulbersonAtlanta, GA 30310",30310,Fulton,2.0,1.0,840.0,0.114,1928,7.0,36,0.0,2,279000
561,"299 Booker St SWAtlanta, GA 30315",30315,Fulton,3.0,2.0,1326.0,0.092,1954,,3804,0.0,2,279000
562,"2247 Abner PlaceAtlanta, GA 30318",30318,Fulton,4.0,2.0,1001.0,0.209,1960,2.0,2716,0.0,2,279000
563,"697 Fayetteville Road  Unit: 101Atlanta, GA 30316",30316,DeKalb,2.0,2.5,1164.0,0.3,2024,1.0,1394,0.0,2,279360
564,"210 Harper Road SEAtlanta, GA 30315",30315,Fulton,3.0,2.0,1275.0,0.289,1955,2.0,2351,0.0,2,279500
565,"140 Sunrise CourtAtlanta, GA 30349",30349,Fulton,4.0,2.0,2378.0,0.413,1970,9.0,1,0.0,2,279900
566,"5249 Chantilly TerraceAtlanta, GA 30349",30349,Clayton,4.0,2.0,1857.0,0.27,1963,,1804,0.0,2,279900
567,"321 Brooks Avenue SWAtlanta, GA 30310",30310,Fulton,3.0,2.0,,0.115,1955,,2555,0.0,2,279900
568,"1694 Kenmore Street SWAtlanta, GA 30311",30311,Fulton,3.0,3.0,2163.0,0.207,1947,2.0,4685,0.0,2,279900
569,"2898 Gresham RoadAtlanta, GA 30316",30316,DeKalb,3.0,1.5,1424.0,0.3,1955,,3018,0.0,2,279900
570,"1020 Oakland DrAtlanta, GA 30349",30349,Fulton,2.0,2.0,1352.0,0.43,1956,1.0,3962,0.0,2,279900
571,"4030 Stonewall Tell RoadAtlanta, GA 30349",30349,Fulton,4.0,2.0,,1.485,1957,,1981,0.0,2,279999
572,"512 CONSTELLATION OVERLOOKAtlanta, GA 30331",30331,Fulton,3.0,2.5,1446.0,0.02,2006,3.0,2891,238.0,2,280000
573,"1411 Lanvale Drive SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,,0.325,1950,2.0,385,0.0,2,280000
574,"6980 Roswell Road  Unit: J6Atlanta, GA 30328",30328,Fulton,2.0,2.5,,0.028,1968,4.0,2779,4140.0,2,280000
575,"143 Elysian Way NWAtlanta, GA 30327",30327,Fulton,2.0,2.0,,0.025,1968,8.0,3702,7116.0,2,280000
576,"198 Ponce De Leon Avenue NE Unit: 4CAtlanta, GA 30308",30308,Fulton,2.0,1.0,,0.019,1924,4.0,3235,6180.0,2,280000
577,"1493 Saint Joseph AvenueAtlanta, GA 30344",30344,Fulton,3.0,2.0,1398.0,0.22,1930,3.0,1903,0.0,2,280000
578,"760 Constitution Road SEAtlanta, GA 30315",30315,Fulton,3.0,1.0,1288.0,0.395,1963,3.0,3301,0.0,2,280000
579,"1850 Cotillion Drive  Unit: 3214Atlanta, GA 30338",30338,DeKalb,2.0,2.0,1292.0,0.026,2004,5.0,4691,0.0,2,280000
580,"250 Pharr Road NE Unit: 607Atlanta, GA 30305",30305,Fulton,1.0,1.0,762.0,,2005,6.0,4643,385.0,2,280000
581,"1667 Sylvan Road SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,,0.157,1930,6.0,1594,0.0,2,280000
582,"42 Belmonte Circle SWAtlanta, GA 30311",30311,Fulton,3.0,3.5,,0.031,1983,2.0,992,4164.0,2,280000
583,"1854 Sylvan Road SWAtlanta, GA 30310",30310,Fulton,3.0,1.0,1140.0,0.207,1945,,2645,0.0,2,282000
584,"390 N River Parkway  Unit: DAtlanta, GA 30350",30350,Fulton,3.0,2.5,1564.0,0.04,1970,1.0,1836,0.0,2,282000
585,"6900 Roswell Road  Unit: B6Atlanta, GA 30328",30328,Fulton,2.0,2.5,1324.0,0.03,1971,6.0,2146,3831.0,2,282500
586,"2806 Ridgeview Drive SWAtlanta, GA 30331",30331,Fulton,3.0,2.5,1488.0,,2007,3.0,1776,0.0,2,283900
587,"883 Ambient Way SWAtlanta, GA 30331",30331,Fulton,2.0,2.5,,0.02,2021,3.0,3779,2856.0,2,284900
588,"800 Peachtree Street NE Unit: 101Atlanta, GA 30308",30308,Fulton,1.0,1.0,945.0,0.022,1927,7.0,2360,402.0,2,285000
589,"2479 Peachtree Road NE Unit: APT 314Atlanta, GA 30305",30305,Fulton,2.0,2.0,1062.0,0.024,1967,4.0,1671,9344.0,2,285000
590,"474 James P Brawley Drive NWAtlanta, GA 30318",30318,Fulton,2.0,1.0,,0.101,1945,,59,0.0,2,285000
591,"5725 Sable Bay PointAtlanta, GA 30349",30349,Fulton,3.0,2.5,,0.133,2005,2.0,3896,475.0,2,285000
592,"285 Centennial Olympic Park Drive  Unit: 2107Atlanta, GA 30313",30313,Fulton,1.0,1.0,895.0,0.02,2003,2.0,4383,6120.0,2,285000
593,"585 Mcwilliams Road SE Unit: 506Atlanta, GA 30315",30315,Fulton,3.0,2.5,,,2021,2.0,3628,3600.0,2,285000
594,"1086 Wedgewood Drive NWAtlanta, GA 30318",30318,Fulton,3.0,1.0,936.0,0.161,1950,,2046,0.0,2,285000
595,"1640 Lakewood Avenue SEAtlanta, GA 30315",30315,Fulton,3.0,2.0,,0.109,1940,,2087,0.0,2,285000
596,"1640 Lakewood Avenue SEAtlanta, GA 30315",30315,Fulton,,,,0.109,1940,,2087,0.0,2,285000
597,"3040 Peachtree Road NW Unit: 713Atlanta, GA 30305",30305,Fulton,1.0,1.0,,0.018,2006,7.0,2252,4980.0,2,285000
598,"2750 LUTHERAtlanta, GA 30344",30344,Fulton,3.0,1.0,1050.0,0.273,1955,,1560,0.0,2,285000
599,"970 Sidney Marcus Boulevard  Unit: 1217Atlanta, GA 30324",30324,Fulton,2.0,2.0,,0.027,1988,7.0,1040,4800.0,2,285000
600,"2529 Ryne Street NWAtlanta, GA 30318",30318,Fulton,4.0,2.5,,0.179,1968,,3369,0.0,2,285000
601,"2870 Pharr Court South NW Unit: 1602Atlanta, GA 30305",30305,Fulton,1.0,1.0,807.0,1.42,1988,7.0,31209,399.0,2,285000
602,"923 Peachtree NE Unit: 929Atlanta, GA 30309",30309,Fulton,1.0,1.0,668.0,0.015,2003,7.0,4608,4200.0,2,285000
603,"2777 GRESHAM Road SEAtlanta, GA 30316",30316,DeKalb,2.0,2.0,,0.2,1953,1.0,2622,0.0,2,285000
604,"371 Corvair SEAtlanta, GA 30354",30354,Fulton,3.0,2.5,982.0,9104.0,1964,,521,0.0,2,285000
605,"677 Langston Drive SWAtlanta, GA 30315",30315,Fulton,4.0,2.0,1150.0,0.52,1940,,3055,0.0,2,285000
606,"8 CarlisleAtlanta, GA 30308",30308,Fulton,1.0,1.5,972.0,0.022,1981,7.0,896,294.0,2,285000
607,"187 SW HOWELLAtlanta, GA 30331",30331,Fulton,3.0,2.0,,0.439,1935,,2111,0.0,2,285000
608,"882 Ambient Way SW Unit: 303Atlanta, GA 30331",30331,Fulton,2.0,2.5,1496.0,0.017,2019,5.0,3215,2856.0,2,285000
609,"120 Ralph Mcgill Boulevard NE Unit: 103 & 104Atlanta, GA 30308",30308,Fulton,2.0,2.0,1068.0,0.26,1974,5.0,2728,6696.0,2,285000
610,"3675 Peachtree Road  Unit: 21Atlanta, GA 30319",30319,Fulton,2.0,2.0,1090.0,0.025,1960,3.0,4319,384.0,2,285900
611,"1391 Lorenzo Drive SwAtlanta, GA 30310",30310,Fulton,3.0,2.0,1067.0,0.249,1950,,3118,0.0,2,287500
612,"216 James P Brawley Drive NWAtlanta, GA 30314",30314,Fulton,3.0,2.5,1459.0,0.109,1930,6.0,2633,0.0,2,288000
613,"2407 Creel LaneAtlanta, GA 30349",30349,Fulton,3.0,2.5,1642.0,0.025,2020,,4317,1200.0,2,288999
614,"1029 Piedmont Avenue NE Unit: 207Atlanta, GA 30309",30309,Fulton,1.0,1.0,,0.02,2001,3.0,2192,0.0,2,289000
615,"275 13th Street NE Unit: 1006Atlanta, GA 30309",30309,Fulton,1.0,1.0,765.0,0.018,2005,6.0,1676,4824.0,2,289000
616,"1405 Mcgill Park Avenue NEAtlanta, GA 30312",30312,Fulton,1.0,1.0,1002.0,0.023,1990,6.0,1277,4200.0,2,289000
617,"1309 NE Westchester RidgeAtlanta, GA 30329",30329,DeKalb,1.0,1.5,1274.0,0.029,2002,5.0,4540,4428.0,2,289000
618,"1233 Woodland Avenue NE Unit: 4Atlanta, GA 30324",30324,DeKalb,3.0,2.0,1532.0,0.035,1965,4.0,648,5844.0,2,289000
619,"301 Lakemoore NE Unit: CAtlanta, GA 30342",30342,Fulton,2.0,1.5,,0.027,1952,4.0,1489,5532.0,2,289000
620,"6900 Roswell Road  Unit: C1Atlanta, GA 30328",30328,Fulton,2.0,2.5,,0.03,1972,8.0,2940,3828.0,2,289000
621,"198 Ponce De Leon Avenue NE Unit: 6BAtlanta, GA 30308",30308,Fulton,2.0,1.0,920.0,0.019,1924,7.0,752,0.0,2,289000
622,"1164 Village Court SEAtlanta, GA 30316",30316,Fulton,1.0,1.0,,0.021,2001,2.0,4527,3132.0,2,289000
623,"288 NW Hemphill School RoadAtlanta, GA 30331",30331,Fulton,4.0,2.0,1224.0,0.159,1940,,2525,0.0,2,289000
624,"799 Hammond  Unit: 207Atlanta, GA 30328",30328,Fulton,2.0,2.0,1010.0,,2004,7.0,3077,5376.0,2,289000
625,"3791 SW Adamsville DriveAtlanta, GA 30331",30331,Fulton,3.0,2.0,1600.0,0.35,1960,2.0,3295,0.0,2,289000
626,"800 Peachtree Street NE Unit: 202Atlanta, GA 30308",30308,Fulton,1.0,1.0,,0.019,1927,8.0,3859,4836.0,2,289500
627,"1657 Westhaven Drive SWAtlanta, GA 30311",30311,Fulton,3.0,2.0,1789.0,0.195,1945,,2053,0.0,2,289900
628,"200 MARRIOTTAtlanta, GA 30349",30349,Fulton,3.0,2.5,1620.0,0.408,2005,,3439,325.0,2,289900
629,"175 Hyacinth Avenue NWAtlanta, GA 30314",30314,Fulton,3.0,2.0,,0.24,1955,,3043,0.0,2,289900
630,"2577 Godfrey Drive NWAtlanta, GA 30318",30318,Fulton,3.0,2.0,,0.167,1950,,920,0.0,2,289900
