,address,zip,county,bed,bath,sqft,lot_size,year_built,amenities,annual_taxes,annual_assoc_fee,schools,price,lat,long
758,"2650 Senegal Way Sw SWAtlanta, GA 30331",30331,Fulton,3.0,2.5,1421.0,,2023,9.0,0,1920.0,2,309899,33.6872773,-84.50124699999999
759,"3030 Collier NWAtlanta, GA 30318",30318,Fulton,3.0,3.0,2367.0,3.39,1960,3.0,5973,0.0,2,309900,33.7630693,-84.48663409999999
760,"340 Willis Mill Road SWAtlanta, GA 30311",30311,Fulton,4.0,2.0,1928.0,0.506,2004,3.0,4979,0.0,2,309900,33.7463883,-84.4665718
761,"218 Harper Road SEAtlanta, GA 30315",30315,Fulton,3.0,2.5,1653.0,0.233,1955,5.0,508,0.0,2,309900,33.6973009,-84.38116629999999
762,"3791 Wisteria SWAtlanta, GA 30331",30331,Fulton,3.0,3.0,1277.0,1.032,1957,,1698,0.0,2,309900,33.7524519,-84.50913059999999
763,"2650 NW Washington StreetAtlanta, GA 30318",30318,Fulton,3.0,2.5,1708.0,0.17,1962,,4060,0.0,2,309900,33.7734429,-84.4743783
764,"1991 SW Wells DriveAtlanta, GA 30311",30311,Fulton,3.0,2.0,1058.0,0.37,1955,,1845,0.0,2,309900,33.7010208,-84.4685568
765,"594 Willard AveAtlanta, GA 30310",30310,Fulton,2.0,2.0,2068.0,0.21,1930,3.0,7456,0.0,2,309900,33.739038,-84.436864
766,"2915 OLD FARMAtlanta, GA 30349",30349,Fulton,5.0,3.0,1830.0,0.354,1971,1.0,1349,0.0,2,309999,33.5883088,-84.48259689999999
767,"4100 Paces Walk  Unit: 1110Atlanta, GA 30339",30339,Cobb,2.0,2.0,1250.0,0.03,2003,4.0,3188,586.0,2,310000,33.8558983,-84.4801682
768,"181 Powell Street SE Unit: 9Atlanta, GA 30316",30316,Fulton,2.0,1.0,680.0,0.016,1924,5.0,4474,2460.0,2,310000,33.749658,-84.365994
769,"3334 PEACHTREE Road NE Unit: 1002Atlanta, GA 30326",30326,Fulton,1.0,1.0,998.0,0.022,1997,3.0,3966,450.0,2,310000,33.8462397,-84.3688196
770,"5888 Little River RoadAtlanta, GA 30349",30349,Clayton,3.0,2.5,1801.0,0.09,2017,,3951,450.0,2,310000,33.5979312,-84.4457576
771,"5447 CascadeAtlanta, GA 30336",30336,Fulton,3.0,2.5,1992.0,0.026,2017,1.0,2667,0.0,2,310000,33.7194001,-84.47894889999999
772,"361 17th Street NW Unit: 2319Atlanta, GA 30363",30363,Fulton,1.0,1.0,830.0,0.019,2005,4.0,4114,496.0,2,310000,33.7916224,-84.3980682
773,"4906 Brookwood PlaceAtlanta, GA 30349",30349,Fulton,4.0,2.0,1840.0,0.884,2006,1.0,4339,0.0,2,310000,33.6314138,-84.5490621
774,"115 Biscayne NW Unit: B5Atlanta, GA 30309",30309,Fulton,3.0,2.0,,0.03,1964,2.0,854,7884.0,2,310000,33.8158128,-84.3946003
775,"943 Peachtree Street NE Unit: 1215Atlanta, GA 30309",30309,Fulton,1.0,1.0,768.0,0.018,2002,7.0,2589,5148.0,2,310000,33.780409,-84.3834589
776,"3426 SW Treadwell Circle SWAtlanta, GA 30331",30331,Fulton,3.0,1.5,,0.31,1960,,852,0.0,2,310000,33.7534801,-84.4999528
777,"2195 Spring Walk CourtAtlanta, GA 30341",30341,DeKalb,2.0,2.5,1312.0,0.74,1984,,3067,780.0,2,310000,33.91265560000001,-84.29809220000001
778,"620 Glen Iris Drive NE Unit: 416Atlanta, GA 30308",30308,Fulton,1.0,1.0,,0.02,2005,3.0,4423,3240.0,2,313500,33.7714125,-84.3678745
779,"821 Ralph Mcgill Boulevard NE Unit: 3416Atlanta, GA 30306",30306,Fulton,1.0,1.0,,0.018,2001,4.0,4439,3468.0,2,314800,33.7665395,-84.3593617
780,"1155 Kipling StreetAtlanta, GA 30315",30315,Fulton,3.0,2.0,1846.0,0.28,1945,1.0,4400,0.0,2,314900,33.7000758,-84.3507956
781,"2042 Fargo Place SEAtlanta, GA 30316",30316,DeKalb,3.0,2.0,,0.3,1959,,2988,0.0,2,314900,33.6955444,-84.3065561
782,"3393 Adkins Road NorthwestAtlanta, GA 30331",30331,Fulton,4.0,2.0,1660.0,0.225,1962,,1518,0.0,2,314900,33.7731366,-84.5022272
